date	amikacin	amoxicillin_clavulanicacid	ampicillin	ampicillin_sulbactum	cefaperazone_sulbactum	cefexime	cefotaxime	cefoxitin	ceftazidime	ceftazidime_clavalunicacid	ceftriaxone	chloramphenicol	ciprofloxacin	colistin	cotrimoxazole	ertapenem	erythromycin	gentamicin_highlevel	imipenem	levofloxacin	linezolid	meropenem	netilmicin	nitrofurantoin	penicillin	piperacillin_tazobactum	rifampicin	teicoplanin	tetracycline	ticarcillin_clavulanicacid	tigecycline	vancomycin
2016-08-31	57.89473684210527	0.0			83.33333333333334		18.181818181818183	100.0	33.33333333333333		0.0	0.0	47.05882352941176	100.0	100.0		100.0		70.58823529411765		100.0	71.42857142857143	0.0		0.0	64.70588235294117		100.0			100.0	100.0
2016-09-30	25.0				100.0		0.0		71.42857142857143				100.0	100.0					42.857142857142854			71.42857142857143				85.71428571428571						
2016-10-31	33.33333333333333	50.0			100.0		40.0	0.0	37.5				33.33333333333333	100.0	0.0		100.0		50.0		100.0	50.0	66.66666666666666			37.5		100.0	100.0			100.0
2016-11-30	35.714285714285715	0.0			54.54545454545454		28.57142857142857	0.0	38.46153846153847				33.33333333333333	100.0	33.33333333333333		0.0		61.53846153846154	100.0	100.0	53.84615384615385	60.0		0.0	46.15384615384615		100.0				100.0
2016-12-31	60.0	0.0			75.0		0.0	50.0	37.5				50.0	100.0	66.66666666666666				62.5		100.0	50.0	50.0	100.0	0.0	50.0		100.0				100.0
2017-01-31	17.647058823529413	0.0			32.35294117647059	100.0	4.545454545454546	0.0	14.705882352941178				21.875	100.0					58.82352941176471			20.588235294117645	0.0			14.705882352941178						
2017-02-28	38.46153846153847	0.0			41.66666666666667		20.0		30.76923076923077				33.33333333333333	100.0					91.66666666666666			36.36363636363637	28.57142857142857	0.0		38.46153846153847						
2017-03-31	27.77777777777778	0.0			38.88888888888889		23.076923076923077		18.75				18.75	100.0					64.70588235294117			47.05882352941176	22.22222222222222			29.411764705882355						
2017-04-30	27.27272727272727	0.0		0.0	40.0		0.0	100.0	0.0			50.0	0.0	100.0	100.0		100.0		20.0		100.0	50.0	42.857142857142854	50.0	0.0	0.0		100.0				100.0
2017-05-31	26.31578947368421	7.6923076923076925			61.111111111111114		7.6923076923076925	100.0	16.666666666666664			66.66666666666666	25.0	100.0	0.0		50.0	0.0	66.66666666666666		100.0	77.77777777777779	18.181818181818183	0.0	50.0	57.89473684210527		100.0				100.0
2017-06-30	12.5	0.0			50.0		0.0		12.5			100.0	50.0	100.0					87.5			87.5	16.666666666666664	0.0		62.5						
2017-07-31	42.857142857142854	0.0			83.33333333333334		0.0	0.0	33.33333333333333		0.0		28.57142857142857	100.0	100.0		100.0		50.0		100.0	33.33333333333333	100.0		0.0	33.33333333333333	100.0	100.0				100.0
2017-08-31	57.14285714285714	0.0			66.66666666666666		0.0		40.0		0.0	0.0	42.857142857142854	100.0					85.71428571428571			71.42857142857143	25.0			57.14285714285714						
2017-09-30	50.0	0.0			50.0		0.0		33.33333333333333			100.0	33.33333333333333	100.0					66.66666666666666			66.66666666666666	66.66666666666666	0.0		50.0						
2017-10-31	66.66666666666666	10.0			75.0		15.384615384615385	100.0	31.57894736842105			100.0	34.78260869565217	100.0	100.0		0.0		80.0		100.0	55.00000000000001	75.0		25.0	50.0	100.0	100.0				100.0
2017-11-30	85.71428571428571	0.0			71.42857142857143		20.0		12.5				57.14285714285714	100.0	100.0				100.0	100.0		71.42857142857143	100.0			75.0				100.0		
2017-12-31	41.66666666666667	0.0			58.333333333333336	0.0	12.5		33.33333333333333				16.666666666666664	100.0					58.333333333333336			25.0	20.0			25.0						
2018-01-31	25.0	0.0	0.0		50.0		0.0		12.5				0.0	100.0			0.0	0.0	18.75		100.0	18.75	50.0		0.0	0.0		0.0				0.0
2018-02-28	20.0				40.0		0.0		20.0				20.0	100.0					40.0			20.0				0.0						
